Reference,Qty,Value,Footprint
R51,1,470R/520R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical
"R73,R74",2,10R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical
RV1,1,CNTR 100K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
RV2,1,CV_LVL 100K,Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical
RV3,1,PWM_LVL 100K,Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical
RV4,1,REF 1K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
RV5,1,FINE 100K,Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical
RV6,1,HF_TRK 20K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
RV7,1,TRK 10K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
RV8,1,PW 100K,Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical
RV9,1,RND 100k,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
RV10,1,OFFSET 50k,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
SW1,1,SW_SPDT,sub-miniture-SPDT:Sub-miniture SPDT
TP1,1,+5V Ref,TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm
TP2,1,Sqr,TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm
TP3,1,Saw,TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm
TP4,1,Tri,TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm
TP5,1,Sine,TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm
TP22,1,Gnd,TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm
U1,1,CEM3340,Package_DIP:DIP-16_W7.62mm
"U2,U3",2,TL074,Package_DIP:DIP-14_W7.62mm
U4,1,LM336Z-2.5,Voltage Ref Diode:Z03A
U5,1,RS1702A0A-HA1,Rotary 6-Way SW:rotary-6-way-sw
